PeakID (cmd=annotatePeaks.pl ENCFF558YNC.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_99	chr3	92081043	92081835	+	497	NA	exon (NM_008508, exon 2 of 2)	exon (NM_008508, exon 2 of 2)	1703	NM_008508	16939	Mm.1121	NM_008508	ENSMUSG00000043165	Lor	AI036317|S77319	loricrin	protein-coding
Peak_102	chr3	121262005	121263118	+	495	NA	intron (NM_178936, intron 1 of 7)	CpG	598	NM_001355678	99887	Mm.26088	NM_178936	ENSMUSG00000028132	Tmem56	4930577M16Rik|AU018104|AW109744|C730036B01Rik	transmembrane protein 56	protein-coding
Peak_100	chr16	34572809	34573566	+	495	NA	Intergenic	Intergenic	-59160	NM_001164268	545156	Mm.82274	NM_177357	ENSMUSG00000061751	Kalrn	2210407G14Rik|AV235988|DUET|E530005C20Rik|Gm539|Hapip|TRAD	kalirin, RhoGEF kinase	protein-coding
Peak_101	chr1	9966751	9967723	+	495	NA	exon (NM_001285425, exon 1 of 2)	exon (NM_001285425, exon 1 of 2)	248	NM_001285425	100039596	Mm.412928	NM_001285425	ENSMUSG00000099032	Tcf24	Gm10567|Gm2330	transcription factor 24	protein-coding
Peak_106	chr10	53750643	53751103	+	492	NA	promoter-TSS (NM_001081428)	promoter-TSS (NM_001081428)	36	NM_001081428	75906	Mm.436785	NM_001081428	ENSMUSG00000019856	Fam184a	3110012E06Rik|4930438C08Rik|4930589M24Rik	family with sequence similarity 184, member A	protein-coding
Peak_104	chrX	169994389	169994721	+	492	NA	Intergenic	Intergenic	-15638	NR_029457	654820	Mm.34441	NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
Peak_103	chr7	142663709	142664575	+	492	NA	intron (NR_002855, intron 1 of 3)	CpG	2674	NM_001315488	16002	Mm.3862	NM_010514	ENSMUSG00000048583	Igf2	AL033362|Igf-2|Igf-II|M6pr|Mpr|Peg2	insulin-like growth factor 2	protein-coding
Peak_107	chr8	15027249	15028051	+	492	NA	exon (NM_029116, exon 2 of 2)	exon (NM_029116, exon 2 of 2)	16625	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding
Peak_105	chr10	127079134	127080110	+	492	NA	exon (NM_001301014, exon 1 of 18)	exon (NM_001301014, exon 1 of 18)	715	NM_001301014	216439	Mm.336761	NM_001033263	ENSMUSG00000025422	Agap2	AGAP-2|Centg1|PIKE|cnt-g1|mKIAA0167	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	protein-coding
Peak_109	chr11	96326423	96326801	+	489	NA	intron (NM_001079869, intron 1 of 3)	intron (NM_001079869, intron 1 of 3)	3486	NM_001079869	15410	Mm.342481	NM_010458	ENSMUSG00000048763	Hoxb3	Hox-2.7	homeobox B3	protein-coding
Peak_108	chr13	56252810	56253159	+	489	NA	promoter-TSS (NM_010896)	promoter-TSS (NM_010896)	-821	NM_010896	18014	Mm.266665	NM_010896	ENSMUSG00000048904	Neurog1	AKA|Math4C|Neurod3|bHLHa6|ngn1	neurogenin 1	protein-coding
Peak_112	chr11	104132784	104134363	+	489	NA	intron (NM_001313928, intron 1 of 11)	CpG	792	NM_007762	12921	Mm.1892	NM_007762	ENSMUSG00000018634	Crhr1	CRF1R|CRFR1|Crhr	corticotropin releasing hormone receptor 1	protein-coding
Peak_116	chr19	58454186	58454378	+	489	NA	intron (NM_001285457, intron 2 of 9)	intron (NM_001285457, intron 2 of 9)	1116	NM_001285457	14585	Mm.88367	NM_010279	ENSMUSG00000025089	Gfra1	AU042498	glial cell line derived neurotrophic factor family receptor alpha 1	protein-coding
Peak_115	chr8	108705675	108706211	+	489	NA	Intergenic	Intergenic	-8701	NM_007496	11906	Mm.416972	NM_007496	ENSMUSG00000038872	Zfhx3	A230102L03Rik|Atbf1|Sci|WBP9|mKIAA4228	zinc finger homeobox 3	protein-coding
Peak_113	chr2	118676840	118677983	+	489	NA	intron (NM_001145854, intron 1 of 9)	CpG	165	NM_001145854	214230	Mm.241857	NM_001033254	ENSMUSG00000074923	Pak6	4732456M09	p21 (RAC1) activated kinase 6	protein-coding
Peak_111	chr7	70331127	70332416	+	489	NA	intron (NR_131144, intron 1 of 3)	CpG	6051	NR_131145	624549	Mm.116344	NR_131144	ENSMUSG00000109097	Gm29683	Gm44536	predicted gene, 29683	ncRNA
Peak_110	chr12	102128064	102128503	+	489	NA	promoter-TSS (NM_001362345)	promoter-TSS (NM_001362345)	-444	NM_001362345	238384	Mm.312448	NM_172152	ENSMUSG00000041771	Slc24a4	A930002M03Rik|AW492432|NCKX4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	protein-coding
Peak_114	chr2	73270845	73272610	+	489	NA	promoter-TSS (NM_001005343)	promoter-TSS (NM_001005343)	-199	NM_001005343	381373	Mm.330293	NM_001005343	ENSMUSG00000068859	Sp9	-	trans-acting transcription factor 9	protein-coding
Peak_118	chr15	102995229	102997247	+	486	NA	Intergenic	Intergenic	5699	NM_010466	15426	Mm.6167	NM_010466	ENSMUSG00000001657	Hoxc8	D130011F21Rik|Hox-3.1	homeobox C8	protein-coding
Peak_117	chr1	163313234	163314456	+	486	NA	promoter-TSS (NM_175686)	promoter-TSS (NM_175686)	-195	NM_001025570	18933	Mm.288642	NM_011127	ENSMUSG00000026586	Prrx1	A230024N07Rik|AA755424|AI385634|AI843499|K-2|Pmx|Pmx1|Prx1|mHox	paired related homeobox 1	protein-coding
Peak_122	chr2	74689071	74690021	+	480	NA	Intergenic	Intergenic	-2345	NM_013554	15430	Mm.24420	NM_013554	ENSMUSG00000050368	Hoxd10	AI385591|AI874987|Hox-4.5|Hox-5.3	homeobox D10	protein-coding
Peak_125	chrUn_GL456392	22657	23064	+	480	NA	NA	GSAT_MM|Satellite|Satellite	NA	NA								
Peak_124	chr4	9844394	9845163	+	480	NA	exon (NM_013526, exon 1 of 2)	exon (NM_013526, exon 1 of 2)	406	NM_013526	242316	Mm.302555	NM_013526	ENSMUSG00000051279	Gdf6	BMP-13|BMP13|GDF16	growth differentiation factor 6	protein-coding
Peak_120	chr13	49146782	49146915	+	480	NA	exon (NM_029361, exon 2 of 28)	exon (NM_029361, exon 2 of 28)	1480	NM_001290311	75607	Mm.342723	NM_029361	ENSMUSG00000037989	Wnk2	1810073P09Rik|AW122246|ESTM15|X83337|mKIAA1760	WNK lysine deficient protein kinase 2	protein-coding
Peak_121	chr8	122677546	122678549	+	480	NA	5' UTR (NM_177289, exon 1 of 11)	5' UTR (NM_177289, exon 1 of 11)	128	NM_001109873	12398	Mm.194339	NM_009824	ENSMUSG00000006362	Cbfa2t3	A630044F12Rik|AI465270|AW229127|Cbfa2t3h|ETO-2|Eto2|MTGR2	core-binding factor, runt domain, alpha subunit 2, translocated to, 3 (human)	protein-coding
Peak_123	chr2	74704903	74705420	+	480	NA	promoter-TSS (NM_008276)	promoter-TSS (NM_008276)	-328	NM_001290730	15437	Mm.280673	NM_008276	ENSMUSG00000027102	Hoxd8	4921540P06Rik|AI047735|Hox-4.3|Hox-5.4	homeobox D8	protein-coding
Peak_119	chr9	87737950	87738413	+	480	NA	Intergenic	Intergenic	-6921	NM_023814	76365	Mm.158789	NM_023814	ENSMUSG00000032419	Tbx18	2810012F10Rik|2810404D13Rik	T-box18	protein-coding
Peak_128	chr5	139543089	139543530	+	477	NA	promoter-TSS (NM_013702)	promoter-TSS (NM_013702)	-589	NM_013702	22255	Mm.42190	NM_013702	ENSMUSG00000029546	Uncx	Chx4|Uncx4.1	UNC homeobox	protein-coding
Peak_132	chr6	99521905	99522939	+	477	NA	Intergenic	CpG-12329	-1429	NM_001347345	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
Peak_129	chr6	29526387	29527147	+	477	NA	5' UTR (NM_012057, exon 1 of 9)	5' UTR (NM_012057, exon 1 of 9)	142	NM_001311083	27056	Mm.6479	NM_012057	ENSMUSG00000029771	Irf5	AW491843|mirf5	interferon regulatory factor 5	protein-coding
Peak_126	chr17	80944652	80945236	+	477	NA	exon (NM_026516, exon 1 of 4)	exon (NM_026516, exon 1 of 4)	312	NM_026516	68027	Mm.357108	NM_026516	ENSMUSG00000024245	Tmem178	2810417M05Rik|Tmem178a	transmembrane protein 178	protein-coding
Peak_130	chr6	32587253	32588157	+	477	NA	5' UTR (NM_175750, exon 1 of 32)	5' UTR (NM_175750, exon 1 of 32)	487	NM_175750	243743	Mm.444029	NM_175750	ENSMUSG00000029765	Plxna4	9330117B14|Plxa4|mKIAA1550	plexin A4	protein-coding
Peak_127	chr17	85615396	85616100	+	477	NA	non-coding (NR_015385, exon 2 of 3)	non-coding (NR_015385, exon 2 of 3)	2648	NR_038082	100043902	Mm.150838	NR_015385	ENSMUSG00000093460	Six3os1	D17Mgi26|E130112H22Rik|Rncr1|Six3os	SIX homeobox 3, opposite strand 1	ncRNA
Peak_131	chr6	52316688	52317854	+	477	NA	3' UTR (NM_007966, exon 3 of 3)	3' UTR (NM_007966, exon 3 of 3)	-2439	NR_038163	70593	Mm.158412	NR_038163	ENSMUSG00000086126	Evx1os	5730457N03Rik|Evx1as	even skipped homeotic gene 1, opposite strand	ncRNA
Peak_133	chrUn_JH584304	44010	44118	+	475	NA	Intergenic	Intergenic	15625	NR_003518	66776	Mm.247625	NR_003518		Pisd-ps3	4933439C20Rik	phosphatidylserine decarboxylase, pseudogene 3	pseudo
Peak_136	chr13	71962545	71963749	+	472	NA	intron (NM_010573, intron 1 of 3)	CpG	576	NM_010573	16371	Mm.316056	NM_010573	ENSMUSG00000060969	Irx1	-	Iroquois homeobox 1	protein-coding
Peak_138	chr11	98328031	98329676	+	472	NA	intron (NM_010895, intron 1 of 1)	GC_rich|Low_complexity|Low_complexity	792	NM_010895	18013	Mm.4814	NM_010895	ENSMUSG00000038255	Neurod2	Ndrf|bHLHa1	neurogenic differentiation 2	protein-coding
Peak_134	chr8	121117146	121118687	+	472	NA	exon (NM_013519, exon 1 of 1)	exon (NM_013519, exon 1 of 1)	1745	NM_013519	14234	Mm.14092	NM_013519	ENSMUSG00000046714	Foxc2	Fkh14|Hfhbf3|MFH-1|Mfh1	forkhead box C2	protein-coding
Peak_137	chr15	7813081	7814229	+	472	NA	promoter-TSS (NM_001301333)	promoter-TSS (NM_001301333)	-72	NM_001301333	14573	Mm.4679	NM_010275	ENSMUSG00000022144	Gdnf	AI385739|ATF	glial cell line derived neurotrophic factor	protein-coding
Peak_135	chr11	22002475	22004133	+	472	NA	Intergenic	Intergenic	-1653	NM_011023	18423	Mm.129663	NM_011023	ENSMUSG00000005917	Otx1	A730044F23Rik|jv	orthodenticle homeobox 1	protein-coding
Peak_139	chr4	109981773	109983043	+	469	NA	exon (NM_172296, exon 3 of 3)	exon (NM_172296, exon 3 of 3)	4383	NM_172296	242620	Mm.32825	NM_172296	ENSMUSG00000047143	Dmrta2	Dmrt5	doublesex and mab-3 related transcription factor like family A2	protein-coding
Peak_142	chr11	96292637	96293800	+	466	NA	intron (NR_131758, intron 2 of 2)	intron (NR_131758, intron 2 of 2)	-5856	NM_008269	15414	Mm.215	NM_008269	ENSMUSG00000000690	Hoxb6	Hox-2.2	homeobox B6	protein-coding
Peak_143	chr6	6877972	6878383	+	466	NA	exon (NM_010056, exon 3 of 3)	exon (NM_010056, exon 3 of 3)	3891	NM_198854	13395	Mm.4873	NM_010056	ENSMUSG00000029755	Dlx5	AI385752	distal-less homeobox 5	protein-coding
Peak_141	chr10	43174121	43174952	+	466	NA	promoter-TSS (NM_175407)	promoter-TSS (NM_175407)	-6	NM_175407	109205	Mm.153750	NM_175407	ENSMUSG00000038248	Sobp	2900009C16Rik|5330439J01Rik|JXC1|jc	sine oculis binding protein	protein-coding
Peak_140	chr19	45230902	45231592	+	466	NA	Intergenic	CpG	3989	NM_010691	16814	Mm.116815	NM_010691	ENSMUSG00000025216	Lbx1	Lbx1h	ladybird homeobox 1	protein-coding
Peak_148	chr6	52167845	52168264	+	463	NA	intron (NR_131182, intron 2 of 2)	intron (NR_131182, intron 2 of 2)	2380	NR_131182	105242657	Mm.490651	NR_131182	ENSMUSG00000056445	Hoxaas2	2810043O09Rik|5730446D14Rik	Hoxa cluster antisense RNA 2	ncRNA
Peak_149	chr9	95406159	95406905	+	463	NA	intron (NM_018763, intron 1 of 1)	CpG	738	NM_018763	54371	Mm.212446	NM_018763	ENSMUSG00000033350	Chst2	AI428561|AW121776|C130041E03Rik|Chts2|GST-2|GlcNAc6ST|Gn6st	carbohydrate sulfotransferase 2	protein-coding
Peak_146	chr11	11114223	11114904	+	463	NA	intron (NM_177033, intron 1 of 3)	CpG	547	NM_177033	319922	Mm.337851	NM_177033	ENSMUSG00000050830	Vwc2	A930041G11Rik|G11|PSST739|UNQ739|cradin	von Willebrand factor C domain containing 2	protein-coding
Peak_145	chr7	35119353	35120321	+	463	NA	exon (NM_001287515, exon 1 of 1)	exon (NM_001287515, exon 1 of 1)	544	NM_001287514	12606	Mm.349667	NM_007678	ENSMUSG00000034957	Cebpa	C/ebpalpha|CBF-A|Cebp	CCAAT/enhancer binding protein (C/EBP), alpha	protein-coding
Peak_147	chr12	55599420	55599873	+	463	NA	exon (NM_020287, exon 1 of 1)	exon (NM_020287, exon 1 of 1)	729	NM_020287	56856	Mm.114886	NM_020287	ENSMUSG00000045440	Insm2	Mlt1	insulinoma-associated 2	protein-coding
Peak_144	chr6	119108090	119108607	+	463	NA	5' UTR (NM_001256002, exon 1 of 48)	5' UTR (NM_001256002, exon 1 of 48)	147	NM_001159535	12288	Mm.41628	NM_009781	ENSMUSG00000051331	Cacna1c	Cav1.2|Cchl1a1|D930026N18Rik|MBC|MELC-CC	calcium channel, voltage-dependent, L type, alpha 1C subunit	protein-coding
Peak_151	chr12	33957652	33958324	+	463	NA	exon (NM_011658, exon 1 of 2)	exon (NM_011658, exon 1 of 2)	317	NM_011658	22160	Mm.3280	NM_011658	ENSMUSG00000035799	Twist1	M-Twist|Pde|Ska10|Ska<m10Jus>|Twist|bHLHa38|pdt	twist basic helix-loop-helix transcription factor 1	protein-coding
Peak_150	chr17	87796462	87797159	+	463	NA	intron (NM_199251, intron 1 of 1)	intron (NM_199251, intron 1 of 1)	1184	NM_199251	210741	Mm.312046	NM_199251	ENSMUSG00000050138	Kcnk12	mntk1	potassium channel, subfamily K, member 12	protein-coding
Peak_152	chr11	33200257	33201989	+	460	NA	3' UTR (NM_019916, exon 3 of 3)	3' UTR (NM_019916, exon 3 of 3)	2465	NM_019916	27140	Mm.25362	NM_019916	ENSMUSG00000040610	Tlx3	Hox11l2|Rnx|Tlx1l2	T cell leukemia, homeobox 3	protein-coding
Peak_156	chr7	44352260	44353093	+	460	NA	exon (NM_001034115, exon 24 of 25)	exon (NM_001034115, exon 24 of 25)	22354	NM_027049	69349	Mm.358922	NM_027049	ENSMUSG00000008028	1700008O03Rik	-	RIKEN cDNA 1700008O03 gene	protein-coding
Peak_155	chr13	55830978	55831369	+	460	NA	5' UTR (NM_011097, exon 1 of 3)	5' UTR (NM_011097, exon 1 of 3)	252	NM_011097	18740	Mm.135195	NM_011097	ENSMUSG00000021506	Pitx1	Bft|P-OTX|Potx|Ptx1	paired-like homeodomain transcription factor 1	protein-coding
Peak_157	chr5	24526041	24527192	+	460	NA	exon (NM_015739, exon 1 of 2)	exon (NM_015739, exon 1 of 2)	232	NM_015739	231044	Mm.246596	NM_015739	ENSMUSG00000067724	Gbx1	Gbx-1	gastrulation brain homeobox 1	protein-coding
Peak_153	chr14	70077628	70078931	+	460	NA	intron (NM_001289925, intron 2 of 2)	CpG-4626	484	NM_001289927	13655	Mm.103737	NM_018781	ENSMUSG00000033730	Egr3	Pilot	early growth response 3	protein-coding
Peak_154	chr16	94083553	94084322	+	460	NA	Intergenic	CpG	-1323	NM_011377	20465	Mm.4775	NM_011377	ENSMUSG00000062713	Sim2	bHLHe15	single-minded family bHLH transcription factor 2	protein-coding
Peak_162	chr13	78198317	78199754	+	457	NA	promoter-TSS (NM_010151)	promoter-TSS (NM_010151)	-162	NM_010151	13865	Mm.439653	NM_010151	ENSMUSG00000069171	Nr2f1	COUP-TF1|COUP-TFI|COUPTFA|EAR-3|EAR3|Erbal3|SVP44|Tcfcoup1	nuclear receptor subfamily 2, group F, member 1	protein-coding
Peak_158	chr11	96325152	96326021	+	457	NA	intron (NM_001079869, intron 1 of 3)	intron (NM_001079869, intron 1 of 3)	2460	NM_001079869	15410	Mm.342481	NM_010458	ENSMUSG00000048763	Hoxb3	Hox-2.7	homeobox B3	protein-coding
Peak_159	chr16	22161465	22162820	+	457	NA	intron (NM_183029, intron 1 of 15)	CpG	1157	NM_183029	319765	Mm.489442	NM_183029	ENSMUSG00000033581	Igf2bp2	C330012H03Rik|IMP-2|Imp2|Neilsen	insulin-like growth factor 2 mRNA binding protein 2	protein-coding
Peak_160	chr2	70476002	70476728	+	457	NA	exon (NM_022435, exon 2 of 2)	exon (NM_022435, exon 2 of 2)	1442	NM_022435	64406	Mm.423397	NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding
Peak_163	chr8	119447133	119447650	+	457	NA	intron (NM_054095, intron 1 of 12)	CpG	672	NM_054095	117148	Mm.356184	NM_054095	ENSMUSG00000031837	Necab2	Efcbp2	N-terminal EF-hand calcium binding protein 2	protein-coding
Peak_161	chr3	55786803	55787176	+	457	NA	intron (NM_030595, intron 40 of 57)	intron (NM_030595, intron 40 of 57)	4479	NM_010750	17116	Mm.440209	NM_010750	ENSMUSG00000056947	Mab21l1	AW047968	mab-21-like 1 (C. elegans)	protein-coding
Peak_166	chr5	35279266	35280027	+	455	NA	5' UTR (NM_007418, exon 1 of 1)	5' UTR (NM_007418, exon 1 of 1)	1080	NM_007418	11553	Mm.57205	NM_007418	ENSMUSG00000045318	Adra2c	Adra-2c|[a]2C|alpha2-C4|alpha2C	adrenergic receptor, alpha 2c	protein-coding
Peak_169	chr11	119089909	119091263	+	455	NA	Intergenic	CpG	-4349	NM_007625	12418	Mm.268070	NM_007625	ENSMUSG00000039989	Cbx4	MPc2|PC2	chromobox 4	protein-coding
Peak_172	chr5	120431840	120432433	+	455	NA	5' UTR (NM_008499, exon 1 of 5)	5' UTR (NM_008499, exon 1 of 5)	250	NM_008499	16873	Mm.5151	NM_008499	ENSMUSG00000029595	Lhx5	Lim2	LIM homeobox protein 5	protein-coding
Peak_168	chr2	74705473	74707221	+	455	NA	intron (NM_001290730, intron 1 of 1)	intron (NM_001290730, intron 1 of 1)	858	NM_008276	15437	Mm.280673	NM_008276	ENSMUSG00000027102	Hoxd8	4921540P06Rik|AI047735|Hox-4.3|Hox-5.4	homeobox D8	protein-coding
Peak_164	chr2	94240555	94241928	+	455	NA	promoter-TSS (NR_106139)	promoter-TSS (NR_106139)	-137	NR_106139	102465777		NR_106139	ENSMUSG00000106336	Mir129b	mmu-mir-129b	microRNA 129b	ncRNA
Peak_171	chr5	129584587	129585741	+	455	NA	intron (NM_011846, intron 1 of 9)	CpG	995	NM_011846	23948	Mm.42047	NM_011846	ENSMUSG00000029436	Mmp17	MT4-MMP|MT4MMP|MTMMP4	matrix metallopeptidase 17	protein-coding
Peak_167	chr13	40731721	40732567	+	455	NA	intron (NM_001301674, intron 2 of 7)	intron (NM_001301674, intron 2 of 7)	1679	NM_011547	21418	Mm.85544	NM_011547	ENSMUSG00000021359	Tfap2a	AP-2|AP2alpha|Ap-2 (a)|Ap2|Ap2tf|Tcfap2a	transcription factor AP-2, alpha	protein-coding
Peak_170	chr12	30884469	30884907	+	455	NA	5' UTR (NM_001159743, exon 1 of 5)	5' UTR (NM_001159743, exon 1 of 5)	364	NM_001159743	100294583	Mm.399726	NM_001159743	ENSMUSG00000054204	Alkal2	6230419C23Rik|Fam150b	ALK and LTK ligand 2	protein-coding
Peak_165	chr5	101663577	101664779	+	455	NA	exon (NM_144955, exon 1 of 3)	exon (NM_144955, exon 1 of 3)	533	NM_144955	18096	Mm.193072	NM_144955	ENSMUSG00000035187	Nkx6-1	NKX6A|Nkx6.1	NK6 homeobox 1	protein-coding
Peak_176	chr2	45110950	45111429	+	452	NA	promoter-TSS (NR_110572)	promoter-TSS (NR_110572)	51	NR_110572	433424	Mm.441408	NR_110571	ENSMUSG00000052248	Zeb2os	Gm13476|Zeb2nat	zinc finger E-box binding homeobox 2, opposite strand	ncRNA
Peak_175	chr2	116076827	116077053	+	452	NA	promoter-TSS (NR_033447)	promoter-TSS (NR_033447)	-844	NR_033447	69974	Mm.440293	NR_033447		2810405F15Rik	-	RIKEN cDNA 2810405F15 gene	ncRNA
Peak_173	chr13	92426323	92426762	+	452	NA	intron (NM_175455, intron 1 of 4)	CpG	573	NM_175455	218440	Mm.213623	NM_175455	ENSMUSG00000045034	Ankrd34b	6430502M16Rik|DP58	ankyrin repeat domain 34B	protein-coding
Peak_174	chr18	21653580	21654375	+	452	NA	exon (NM_001271580, exon 3 of 4)	exon (NM_001271580, exon 3 of 4)	-1609	NM_001081403	225266	Mm.436836	NM_001081403	ENSMUSG00000042514	Klhl14	6330403N15Rik|AI785250|printor	kelch-like 14	protein-coding
Peak_184	chr5	67230589	67231208	+	449	NA	Intergenic	Intergenic	-29667	NM_028975	67878	Mm.23217	NM_028975	ENSMUSG00000037720	Tmem33	1110006G02Rik|1600019D15Rik|2410089A21Rik|2700052H22Rik|5430406L04Rik|AA388285|AI314185|AI426615|db83	transmembrane protein 33	protein-coding
Peak_180	chr2	150526128	150526291	+	449	NA	Intergenic	CpG	-41146	NM_001034900	545471	Mm.451002	NM_001034900	ENSMUSG00000074731	Zfp345	-	zinc finger protein 345	protein-coding
Peak_181	chr2	74656645	74657113	+	449	NA	intron (NM_007967, intron 2 of 2)	intron (NM_007967, intron 2 of 2)	2678	NM_007967	14029	Mm.25365	NM_007967	ENSMUSG00000001815	Evx2	Evx-2	even-skipped homeobox 2	protein-coding
Peak_183	chr5	67229853	67230536	+	449	NA	Intergenic	Intergenic	-30371	NM_028975	67878	Mm.23217	NM_028975	ENSMUSG00000037720	Tmem33	1110006G02Rik|1600019D15Rik|2410089A21Rik|2700052H22Rik|5430406L04Rik|AA388285|AI314185|AI426615|db83	transmembrane protein 33	protein-coding
Peak_187	chr9	32542141	32543190	+	449	NA	Intergenic	Intergenic	-1213	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding
Peak_185	chr6	99520442	99520947	+	449	NA	5' UTR (NM_001347345, exon 1 of 20)	5' UTR (NM_001347345, exon 1 of 20)	299	NM_001347345	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
Peak_186	chr9	3027058	3027219	+	449	NA	Intergenic	GSAT_MM|Satellite|Satellite	11605	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
Peak_182	chr5	100158609	100159595	+	449	NA	intron (NM_182841, intron 1 of 7)	CpG	706	NM_182841	231503	Mm.99790	NM_182841	ENSMUSG00000050640	Tmem150c	-	transmembrane protein 150C	protein-coding
Peak_189	chr12	86423048	86423667	+	449	NA	intron (NM_011934, intron 1 of 6)	intron (NM_011934, intron 1 of 6)	1713	NM_011934	26380	Mm.235550	NM_011934	ENSMUSG00000021255	Esrrb	Err2|Errb|Estrrb|Nr3b2	estrogen related receptor, beta	protein-coding
Peak_188	chr11	19014122	19014896	+	449	NA	intron (NM_010789, intron 2 of 11)	intron (NM_010789, intron 2 of 11)	4460	NM_001193271	17268	Mm.356578	NM_010789	ENSMUSG00000020160	Meis1	C530044H18Rik|Evi8	Meis homeobox 1	protein-coding
Peak_178	chr1	138849572	138850003	+	449	NA	Intergenic	Intergenic	-2208	NM_010714	16876	Mm.250732	NM_010714	ENSMUSG00000019230	Lhx9	3110009O07Rik|BB104635|LH2B	LIM homeobox protein 9	protein-coding
Peak_195	chr9	118476153	118477425	+	449	NA	Intergenic	Intergenic	-1400	NM_010136	13813	Mm.200692	NM_010136	ENSMUSG00000032446	Eomes	C77258|TBR-2|Tbr2	eomesodermin	protein-coding
Peak_179	chr13	40709848	40710985	+	449	NA	Intergenic	Intergenic	-17392	NR_125899	102633805		NR_125899	ENSMUSG00000097752	Gm26688	Tfap2a-as1	predicted gene, 26688	ncRNA
Peak_194	chr8	48843472	48843828	+	449	NA	Intergenic	CpG	-168960	NM_001145937	23965	Mm.42191	NM_011857	ENSMUSG00000031561	Tenm3	2610100B16Rik|Odz1|Odz3|Ten-m3|mKIAA1455	teneurin transmembrane protein 3	protein-coding
Peak_190	chr14	118234827	118236169	+	449	NA	promoter-TSS (NR_131970)	promoter-TSS (NR_131970)	-734	NR_131970	105245869	Mm.460408	NR_131969	ENSMUSG00000090534	LOC105245869	-	uncharacterized LOC105245869	ncRNA
Peak_191	chr16	34572576	34572759	+	449	NA	Intergenic	Intergenic	-58640	NM_001164268	545156	Mm.82274	NM_177357	ENSMUSG00000061751	Kalrn	2210407G14Rik|AV235988|DUET|E530005C20Rik|Gm539|Hapip|TRAD	kalirin, RhoGEF kinase	protein-coding
Peak_193	chr8	47413388	47413854	+	449	NA	Intergenic	CpG	-61273	NM_175162	71069	Mm.23973	NM_175162	ENSMUSG00000038143	Stox2	4933409N07Rik|AI449080|AI835114|mKIAA1392	storkhead box 2	protein-coding
Peak_177	chr15	75747529	75748010	+	449	NA	exon (NM_194350, exon 1 of 1)	exon (NM_194350, exon 1 of 1)	153	NM_194350	378435	Mm.309589	NM_194350	ENSMUSG00000047591	Mafa	RIPE3b1	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)	protein-coding
Peak_192	chr7	64502148	64502477	+	449	NA	intron (NM_001291166, intron 1 of 14)	CpG	174	NM_001291167	11784	Mm.4657	NM_007461	ENSMUSG00000030519	Apba2	X11-like|X11L|XllL|mXllL	amyloid beta (A4) precursor protein-binding, family A, member 2	protein-coding
Peak_197	chr11	19026480	19026742	+	446	NA	Intergenic	Intergenic	-7642	NM_010789	17268	Mm.356578	NM_010789	ENSMUSG00000020160	Meis1	C530044H18Rik|Evi8	Meis homeobox 1	protein-coding
Peak_200	chr15	101053570	101054284	+	446	NA	exon (NM_001214911, exon 1 of 1)	exon (NM_001214911, exon 1 of 1)	472	NM_001214911	668225	Mm.385011	NM_001214911	ENSMUSG00000095440	Fignl2	EG668225	fidgetin-like 2	protein-coding
Peak_204	chr8	94532672	94533464	+	446	NA	promoter-TSS (NM_153507)	promoter-TSS (NM_153507)	40	NM_153507	234577	Mm.291815	NM_153507	ENSMUSG00000034361	Cpne2	3322401K10Rik	copine II	protein-coding
